ID,Legante standard,Famiglia,Legante originale,Metallo,Sale metallico,Campione,Solvente,Co-linker/Additivo,Temperatura,Tempo ore,Vial/Beuta ml,Data raw,Data ISO,MM legante,MM sale,mmol legante,mmol sale,mg legante,mg sale,Rapporto L/M,Procedura sintetica,Stato XRD,Esito/Osservazioni,IR file,XRD file,TGA file,BET,Riferimento cartella,Tag,Duplicati potenziali,Note,Sorgente_Database,mmol metallo,mg metallo,Quantita additivo,Volume solvente,Procedimento / note,IR,XRD,TGA,Caratterizzazioni presenti,Foglio origine,Riga origine,Inserito il,Note future,Esito_ML
1,curc-ind,Curcumina,curc-ind,Zn,Zn(OAc)2*2H2O,A,DMF,,80,72,20,,,354.0,219.51,0.1,0.05,35.4,10.9755,2.0,no precipitato,Precipitato,,,,,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,1
2,curc(III),Curcumina,curc(III),Zn,Zn(OAc)2*2H2O,B,DMF,,80,72,20,,,278.0,219.51,0.1,0.05,27.8,10.9755,2.0,,"buonno, poco sharpe",,,"buonno, poco sharpe",,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,2
3,curc-ind,Curcumina,curc-ind,Cu,Cu(OAc)2*H2O,C,DMF,,80,72,20,,,278.0,199.65,0.1,0.05,27.8,9.9825,2.0,no precipitato,Precipitato,,,,,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,1
4,curc(III),Curcumina,curc(III),Cu,Cu(OAc)2*H2O,B,DMF,,80,72,20,,,278.0,199.65,0.1,0.05,27.8,9.9825,2.0,no precipitato,Precipitato,,,,,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,1
5,curc(III),Curcumina,curc(III),Zn,Zn(OAc)2*2H2O,"B,2",DMF/MeOH,,80,24,15,,,278.0,219.51,0.1,0.05,27.8,10.9755,2.0,,molto più sharpe,"Campione | Linker | Ione metallico | Ione metallico | Solvente | Temperatura °C | Procedimento | Tempo ore | Vials ml | Data inizio reazione | IR | XRD | TGA | BET B,3 | curc(III) | Zn(OAc)2*2H2O | Cu(OAc)2*H2O | DMF | 80.0 | Poco precipitato, non abbastanza per poterlo caratterizzare | 72.0 | 20.0 MM | 278.0 | 219.51 | 199.65 | 10 ml Millimoli | 0.1 | 0.05 | 0.1 Milligrammi | 27.8 | 10.9755 | 19.965 Solvente | DMSO | DMF/esano 1:1 | EtOH | MeOH | DMF/H2O 1:2 | DMF/EtOH 1:2 | DMF/MeOH 1:2 | DMF/H2O 1:1 | DMF/MeCN 1:1 | DMF/EtOH 1:1 | DMF/MeOH 1:1 | DMF | DMSO/H2O 1:1 ml | 10.0 | 2026-05-05 00:00:00 | 10.0 | 10.0 | 2026-06-03 00:00:00 | 2026-06-03 00:00:00 | 2026-06-03 00:00:00 | 2026-05-05 00:00:00 | 2026-05-05 00:00:00 | 2026-05-05 00:00:00 | 2026-05-05 00:00:00 | 10.0 | 2026-10-13 00:00:00 Metallo | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 mmol | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 mg | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 Legante | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) mmol | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 mg | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 Cristalli | Cristalli 25/03/2026 17,00 | 25/03/2026 17,01 | 25/03/2026 17,02 | 25/03/2026 17,03 | 25/03/2026 17,04 | 25/03/2026 17,05 | 25/03/2026 17,06 | 25/03/2026 17,07 | 25/03/2026 17,08 | 25/03/2026 17,09 | 25/03/2026 17,10 | 25/03/2026 17,11 | 25/03/2026 17,09 XRD molto buono! Campione | Linker | Ione metallico | Ione metallico | Solvente | Temperatura °C | Procedimento | Tempo ore | Vials ml | Data inizio reazione | IR | XRD | TGA | BET B.4 | curc(III) | Zn(OAc)2*2H2O | Cu(OAc)2*H2O | DMF | 80.0 | 24.0 | 20.0 | 25/03/2026 18,30 | Ir buono,non uguale agli altri con solo Zn | buon XRD MM | 278.0 | 219.51 | 199.65 | 10 ml Millimoli | 0.2 | 0.2 | 0.2 | Da analisi elementare sembrano esserci 2 molecole di curcumina, uno Zn e due Cu Milligrammi | 55.6 | 43.902 | 39.93 | Ma probabile un MOF solo di rame | ripreparare solo rame e verificare corrispondenza",,molto più sharpe,,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,"Campione | Linker | Ione metallico | Ione metallico | Solvente | Temperatura °C | Procedimento | Tempo ore | Vials ml | Data inizio reazione | IR | XRD | TGA | BET B,3 | curc(III) | Zn(OAc)2*2H2O | Cu(OAc)2*H2O | DMF | 80.0 | Poco precipitato, non abbastanza per poterlo caratterizzare | 72.0 | 20.0 MM | 278.0 | 219.51 | 199.65 | 10 ml Millimoli | 0.1 | 0.05 | 0.1 Milligrammi | 27.8 | 10.9755 | 19.965 Solvente | DMSO | DMF/esano 1:1 | EtOH | MeOH | DMF/H2O 1:2 | DMF/EtOH 1:2 | DMF/MeOH 1:2 | DMF/H2O 1:1 | DMF/MeCN 1:1 | DMF/EtOH 1:1 | DMF/MeOH 1:1 | DMF | DMSO/H2O 1:1 ml | 10.0 | 2026-05-05 00:00:00 | 10.0 | 10.0 | 2026-06-03 00:00:00 | 2026-06-03 00:00:00 | 2026-06-03 00:00:00 | 2026-05-05 00:00:00 | 2026-05-05 00:00:00 | 2026-05-05 00:00:00 | 2026-05-05 00:00:00 | 10.0 | 2026-10-13 00:00:00 Metallo | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 | Zn(OAC)2 mmol | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 | 0.017 mg | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 | 3.73167 Legante | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) | Curc(III) mmol | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 | 0.033 mg | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 | 9.174 Cristalli | Cristalli 25/03/2026 17,00 | 25/03/2026 17,01 | 25/03/2026 17,02 | 25/03/2026 17,03 | 25/03/2026 17,04 | 25/03/2026 17,05 | 25/03/2026 17,06 | 25/03/2026 17,07 | 25/03/2026 17,08 | 25/03/2026 17,09 | 25/03/2026 17,10 | 25/03/2026 17,11 | 25/03/2026 17,09 XRD molto buono! Campione | Linker | Ione metallico | Ione metallico | Solvente | Temperatura °C | Procedimento | Tempo ore | Vials ml | Data inizio reazione | IR | XRD | TGA | BET B.4 | curc(III) | Zn(OAc)2*2H2O | Cu(OAc)2*H2O | DMF | 80.0 | 24.0 | 20.0 | 25/03/2026 18,30 | Ir buono,non uguale agli altri con solo Zn | buon XRD MM | 278.0 | 219.51 | 199.65 | 10 ml Millimoli | 0.2 | 0.2 | 0.2 | Da analisi elementare sembrano esserci 2 molecole di curcumina, uno Zn e due Cu Milligrammi | 55.6 | 43.902 | 39.93 | Ma probabile un MOF solo di rame | ripreparare solo rame e verificare corrispondenza",CurcumineMOFs,,,,,,,,,,,,,,2
6,curc(III),Curcumina,curc(III),Zn,Zn(OAc)2*2H2O,B.5,DMF/MeOH,,80,24,35,"25/03/2026 18,30",2026-03-25,278.0,219.51,0.3,0.15,83.4,32.9265,2.0,118 mg finali,Da valutare,,"the same B,2",,,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,1
7,curc(III),Curcumina,curc(III),Zn,Zn(NO3)2*6H2O,B.6,DMF/MeOH,,80,24,15,"26/03/26 12,30",2026-03-26,278.0,297.47,0.2,0.1,55.6,29.747,2.0,,"XRD buono, diverso da quello con Zn(Ac)2",,spettro IR identico a quello con Zn(Ac)2,"XRD buono, diverso da quello con Zn(Ac)2",,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,2
8,curc-ind,Curcumina,curc-ind,Zn,Zn(OAc)2*2H2O,"A,2",MeOH,,80,72,20,"27/03/26 11,30",2026-03-27,354.0,219.51,0.1,0.05,35.4,10.9755,2.0,precipitato nero,"piatto, pessimo, buttato",,,"piatto, pessimo, buttato",,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,0
9,curc-ind,Curcumina,curc-ind,Zn,Zn(NO3)2*6H2O,A.3,DMF,,120,72,15,"27/03/26 11,30",2026-03-27,354.0,297.47,0.1,0.05,35.4,14.8735,2.0,nessun precipitato,Precipitato,,,,,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,1
10,curc(III),Curcumina,curc(III),Ni,Ni(NO3)2*6H2O,B.7,DMF,,120,72,15,"27/03/26 11,30",2026-03-27,278.0,290.81,0.1,0.05,27.8,14.5405,2.0,nessun preciiptato,Da valutare,,,,,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,1
